geography_id,country_code,country_name,region_name,district_name,sub_district_name,population,urban_rural,latitude,longitude,area_sq_km,population_density,elevation,healthcare_access_index
KE-RIF-033,KE,Kenya,Rift Valley,Rift Valley District 4,Rift Valley District 4 Sub-district 3,257597.0,Rural,-2.391095,39.789434,4543,79.74,1300,0.243
KE-RIF-034,KE,Kenya,Rift Valley,Rift Valley District 5,Rift Valley District 5 Sub-district 1,271935.0,Rural,0.80847,34.841398,4615,82.86,1045,0.295
KE-RIF-035,KE,Kenya,Rift Valley,Rift Valley District 5,Rift Valley District 5 Sub-district 2,131203.0,Rural,0.049902,41.34079,275,670.94,797,0.616
KE-RIF-036,KE,Kenya,Rift Valley,Rift Valley District 5,Rift Valley District 5 Sub-district 3,132742.0,Rural,-2.66104,39.871617,4804,38.86,546,0.715
KE-RIF-037,KE,Kenya,Rift Valley,Rift Valley District 5,Rift Valley District 5 Sub-district 4,1607391.0,Urban,4.269465,41.723429,382,5917.35,2146,0.698
KE-RIF-038,KE,Kenya,Rift Valley,Rift Valley District 6,Rift Valley District 6 Sub-district 1,128974.0,Rural,4.51309,41.80096,1189,152.54,190,0.345
KE-RIF-039,KE,Kenya,Rift Valley,Rift Valley District 6,Rift Valley District 6 Sub-district 2,1930757.0,Urban,0.036303,37.073495,744,3649.42,569,0.844
KE-CEN-040,KE,Kenya,Central,Central District 1,Central District 1 Sub-district 1,1104048.0,Urban,3.140401,33.9,164,9467.01,1409,0.358
KE-CEN-041,KE,Kenya,Central,Central District 1,Central District 1 Sub-district 2,110835.0,Rural,0.466002,35.599929,2856,54.57,537,0.748
KE-CEN-042,KE,Kenya,Central,Central District 1,Central District 1 Sub-district 3,134958.0,Rural,-4.7,33.9,4181,45.39,684,0.255
KE-CEN-043,KE,Kenya,Central,Central District 2,Central District 2 Sub-district 1,98076.0,Rural,-2.923745,35.728664,4979,27.7,1823,0.563
KE-CEN-044,KE,Kenya,Central,Central District 2,Central District 2 Sub-district 2,1563714.0,Urban,-3.402266,37.450666,351,6264.97,2352,0.13
KE-CEN-045,KE,Kenya,Central,Central District 2,Central District 2 Sub-district 3,116358.0,Rural,1.632082,34.896343,54,3030.22,1126,0.168
KE-CEN-047,KE,Kenya,Central,Central District 3,Central District 3 Sub-district 2,194035.0,Rural,1.328132,34.890658,3725,73.25,1081,0.163
KE-CEN-048,KE,Kenya,Central,Central District 4,Central District 4 Sub-district 1,485725.0,Urban,-2.083775,38.231999,650,1050.86,1081,0.832
KE-CEN-049,KE,Kenya,Central,Central District 4,Central District 4 Sub-district 2,161595.0,Rural,-0.959292,38.440767,4633,49.05,896,0.864
KE-EAS-050,KE,Kenya,Eastern,Eastern District 1,Eastern District 1 Sub-district 1,47618.0,Rural,-0.210697,36.2248,3197,20.95,153,0.385
KE-EAS-051,KE,Kenya,Eastern,Eastern District 1,Eastern District 1 Sub-district 2,42264.0,Rural,-4.7,33.9,3109,19.12,452,0.479
KE-EAS-052,KE,Kenya,Eastern,Eastern District 1,Eastern District 1 Sub-district 3,1592284.0,Urban,1.604591,35.638435,263,8514.0,1757,0.62
KE-EAS-053,KE,Kenya,Eastern,Eastern District 1,Eastern District 1 Sub-district 4,1357374.0,Urban,2.346428,34.955149,915,2086.16,2489,0.501
KE-EAS-054,KE,Kenya,Eastern,Eastern District 2,Eastern District 2 Sub-district 1,55226.0,Rural,-4.7,38.007354,4642,16.73,895,0.609
KE-EAS-055,KE,Kenya,Eastern,Eastern District 2,Eastern District 2 Sub-district 2,170910.0,Rural,-2.28972,38.014306,4050,59.34,956,0.536
KE-EAS-056,KE,Kenya,Eastern,Eastern District 3,Eastern District 3 Sub-district 1,62793.0,Rural,0.159108,34.521475,4430,19.93,2444,0.272
KE-EAS-057,KE,Kenya,Eastern,Eastern District 3,Eastern District 3 Sub-district 2,104910.0,Rural,-4.7,38.332054,2946,50.08,89,0.355
KE-WES-058,KE,Kenya,Western,Western District 1,Western District 1 Sub-district 1,183370.0,Rural,2.149157,35.530838,3317,77.74,825,0.657
KE-WES-059,KE,Kenya,Western,Western District 1,Western District 1 Sub-district 2,129053.0,Rural,-4.7,36.619568,2858,63.5,675,0.242
KE-WES-060,KE,Kenya,Western,Western District 1,Western District 1 Sub-district 3,255597.0,Rural,-0.069301,39.129182,1621,221.74,977,0.3
KE-WES-061,KE,Kenya,Western,Western District 2,Western District 2 Sub-district 1,79270.0,Rural,-3.206449,38.714758,2376,46.92,2264,0.291
KE-WES-062,KE,Kenya,Western,Western District 2,Western District 2 Sub-district 2,114094.0,Rural,-0.726553,39.88766,1415,113.39,396,0.816
KE-WES-063,KE,Kenya,Western,Western District 2,Western District 2 Sub-district 3,174222.0,Rural,2.994652,34.006293,2552,96.0,1819,0.86
KE-WES-064,KE,Kenya,Western,Western District 2,Western District 2 Sub-district 4,260434.0,Rural,-0.840261,33.942275,3190,114.81,395,0.363
KE-WES-065,KE,Kenya,Western,Western District 3,Western District 3 Sub-district 1,119695.0,Rural,1.936285,39.592945,2206,76.3,1065,0.879
KE-WES-066,KE,Kenya,Western,Western District 3,Western District 3 Sub-district 2,42202.0,Rural,1.429031,37.643326,4896,12.12,953,0.595
KE-WES-067,KE,Kenya,Western,Western District 3,Western District 3 Sub-district 3,729468.0,Urban,-1.462749,35.056611,402,2551.82,1217,0.165
KE-WES-068,KE,Kenya,Western,Western District 3,Western District 3 Sub-district 4,1306777.0,Urban,-0.01926,40.181108,351,5235.56,499,0.289
KE-NYA-069,KE,Kenya,Nyanza,Nyanza District 1,Nyanza District 1 Sub-district 1,154295.0,Rural,3.113685,38.809336,2973,72.98,1205,0.664
KE-NYA-070,KE,Kenya,Nyanza,Nyanza District 1,Nyanza District 1 Sub-district 2,195400.0,Rural,-2.438263,38.897001,4798,57.27,753,0.475
KE-NYA-071,KE,Kenya,Nyanza,Nyanza District 1,Nyanza District 1 Sub-district 3,1390136.0,Urban,4.17955,40.909693,396,4936.64,1996,0.29
KE-NYA-072,KE,Kenya,Nyanza,Nyanza District 1,Nyanza District 1 Sub-district 4,199753.0,Rural,-0.815278,41.9,183,1535.01,2105,0.11
KE-NYA-073,KE,Kenya,Nyanza,Nyanza District 2,Nyanza District 2 Sub-district 1,1937963.0,Urban,-3.068773,41.9,773,3525.61,1252,0.302
KE-NYA-074,KE,Kenya,Nyanza,Nyanza District 2,Nyanza District 2 Sub-district 2,116666.0,Rural,-1.926596,36.690473,3536,46.4,1396,0.658
KE-NYA-075,KE,Kenya,Nyanza,Nyanza District 3,Nyanza District 3 Sub-district 1,146185.0,Rural,4.6,41.9,2881,71.36,967,0.416
KE-NYA-076,KE,Kenya,Nyanza,Nyanza District 3,Nyanza District 3 Sub-district 2,469877.0,Urban,-1.894377,40.130787,657,1005.75,539,0.162
KE-NYA-077,KE,Kenya,Nyanza,Nyanza District 3,Nyanza District 3 Sub-district 3,49890.0,Rural,0.74274,35.214528,2558,27.43,924,0.207
KE-NYA-078,KE,Kenya,Nyanza,Nyanza District 3,Nyanza District 3 Sub-district 4,667482.0,Urban,4.6,40.761756,824,1139.15,1944,0.435
KE-NYA-079,KE,Kenya,Nyanza,Nyanza District 4,Nyanza District 4 Sub-district 1,196374.0,Rural,-1.939441,38.246041,4519,61.11,2193,0.89
KE-NYA-080,KE,Kenya,Nyanza,Nyanza District 4,Nyanza District 4 Sub-district 2,1518311.0,Urban,3.498678,38.099916,836,2554.01,688,0.771
KE-NYA-081,KE,Kenya,Nyanza,Nyanza District 4,Nyanza District 4 Sub-district 3,110625.0,Rural,-2.227575,35.065376,4663,33.36,475,0.75
KE-NYA-082,KE,Kenya,Nyanza,Nyanza District 5,Nyanza District 5 Sub-district 1,279310.0,Rural,1.693115,41.107899,2774,141.6,713,0.78
KE-NYA-083,KE,Kenya,Nyanza,Nyanza District 5,Nyanza District 5 Sub-district 2,63120.0,Rural,-1.133985,37.153854,4594,19.32,880,0.706
KE-NYA-084,KE,Kenya,Nyanza,Nyanza District 5,Nyanza District 5 Sub-district 3,715331.0,Urban,-2.416314,40.328586,683,1472.84,437,0.718
KE-NYA-085,KE,Kenya,Nyanza,Nyanza District 5,Nyanza District 5 Sub-district 4,61958.0,Rural,4.119987,41.9,3087,28.23,762,0.423
KE-NYA-086,KE,Kenya,Nyanza,Nyanza District 6,Nyanza District 6 Sub-district 1,1132651.0,Urban,3.825015,40.070891,84,18962.07,434,0.823
KE-NYA-087,KE,Kenya,Nyanza,Nyanza District 6,Nyanza District 6 Sub-district 2,40496.0,Rural,2.182817,40.049155,1408,40.45,2482,0.823
KE-NYA-088,KE,Kenya,Nyanza,Nyanza District 6,Nyanza District 6 Sub-district 3,259947.0,Rural,0.721067,41.9,4687,77.99,758,0.519
KE-NYA-089,KE,Kenya,Nyanza,Nyanza District 6,Nyanza District 6 Sub-district 4,261417.0,Rural,4.35905,41.107342,3081,119.32,68,0.884
KE-NYA-090,KE,Kenya,Nyanza,Nyanza District 7,Nyanza District 7 Sub-district 1,109916.0,Rural,2.418228,36.877165,1956,79.03,2158,0.203
KE-NYA-091,KE,Kenya,Nyanza,Nyanza District 7,Nyanza District 7 Sub-district 2,1991080.0,Urban,0.250395,40.537341,909,3080.31,359,0.657
NG-LAG-092,NG,Nigeria,Lagos,Lagos District 1,Lagos District 1 Sub-district 1,6606594.0,Urban,8.699066,13.601713,70,94379.91,1028,0.376
NG-LAG-093,NG,Nigeria,Lagos,LAGOS DISTRICT 1,Lagos District 1 Sub-district 2,3382357.0,Urban,4.604344,3.457267,242,13976.68,523,0.265
NG-LAG-094,NG,Nigeria,Lagos,Lagos District 2,Lagos District 2 Sub-district 1,9480473.0,Urban,10.38059,2.7,258,36746.02,2094,0.602
NG-LAG-095,NG,Nigeria,Lagos,Lagos District 2,Lagos District 2 Sub-district 2,4125354.0,Urban,12.593175,2.748528,35,117867.26,1280,0.168
NG-LAG-096,NG,Nigeria,Lagos,Lagos District 2,Lagos District 2 Sub-district 3,9083123.0,Urban,5.762554,6.430318,735,12357.99,525,0.595
NG-LAG-097,NG,Nigeria,Lagos,Lagos District 3,Lagos District 3 Sub-district 1,8585153.0,Urban,10.928521,2.7,321,26745.02,882,0.671
NG-LAG-098,NG,Nigeria,Lagos,Lagos District 3,Lagos District 3 Sub-district 2,4708654.0,Urban,4.3,12.341558,815,5777.49,1906,0.294
NG-LAG-099,NG,Nigeria,Lagos,Lagos District 3,Lagos District 3 Sub-district 3,3319049.0,Urban,9.166865,12.026149,95,34937.36,125,0.196
NG-LAG-100,NG,Nigeria,Lagos,Lagos District 3,Lagos District 3 Sub-district 4,6642264.0,Urban,10.272182,11.412838,118,56290.37,1169,0.17
NG-LAG-101,NG,Nigeria,Lagos,Lagos District 4,Lagos District 4 Sub-district 1,3568103.0,Urban,7.896732,3.539906,434,8221.44,1541,0.82
NG-LAG-102,NG,Nigeria,Lagos,Lagos District 4,Lagos District 4 Sub-district 2,3697143.0,Urban,8.535978,5.952847,386,9578.09,1312,0.106
NG-LAG-103,NG,Nigeria,Lagos,Lagos District 4,Lagos District 4 Sub-district 3,9914501.0,Urban,6.113994,3.933808,852,11636.74,2397,0.239
NG-LAG-104,NG,Nigeria,Lagos,Lagos District 4,Lagos District 4 Sub-district 4,4668866.0,Urban,8.788109,6.905422,557,8382.17,919,0.19
NG-KAN-105,NG,Nigeria,Kano,Kano District 1,Kano District 1 Sub-district 1,6986126.0,Urban,13.324692,7.232744,513,13618.18,2021,0.635
NG-KAN-106,NG,Nigeria,Kano,Kano District 1,Kano District 1 Sub-district 2,625134.0,Rural,10.617153,9.835472,1191,524.88,1810,0.26
NG-KAN-107,NG,Nigeria,Kano,Kano District 1,Kano District 1 Sub-district 3,335659.0,Rural,6.583234,11.430079,4465,75.18,1573,0.565
NG-KAN-108,NG,Nigeria,Kano,Kano District 2,Kano District 2 Sub-district 1,467436.0,Rural,10.593659,4.7804,4835,96.68,2039,0.208
NG-KAN-109,NG,Nigeria,Kano,Kano District 2,Kano District 2 Sub-district 2,8211179.0,Urban,7.417412,12.310101,605,13572.2,320,0.211
NG-KAN-110,NG,Nigeria,Kano,Kano District 2,Kano District 2 Sub-district 3,9112074.0,Urban,10.023196,11.376312,428,21289.89,1118,0.844
NG-KAN-111,NG,Nigeria,Kano,Kano District 2,Kano District 2 Sub-district 4,886667.0,Rural,9.402576,14.6,3580,247.67,1160,0.264
NG-KAN-112,NG,Nigeria,Kano,Kano District 3,Kano District 3 Sub-district 1,2092501.0,Urban,5.942509,13.463722,788,2655.46,872,0.7
NG-KAN-113,NG,Nigeria,Kano,Kano District 3,Kano District 3 Sub-district 2,879554.0,Rural,7.057752,13.857139,127,6925.62,131,0.353
NG-KAN-114,NG,Nigeria,Kano,Kano District 3,Kano District 3 Sub-district 3,1829735.0,Urban,9.819507,12.657711,809,2261.72,2469,0.532
NG-KAN-115,NG,Nigeria,Kano,Kano District 3,Kano District 3 Sub-district 4,8490200.0,Urban,8.89228,8.822337,971,8743.77,1997,0.153
NG-KAD-116,NG,Nigeria,Kaduna,KADUNA DISTRICT 1,Kaduna District 1 Sub-district 1,198095.0,Rural,12.746388,9.455726,2085,319.16,477,0.815
NG-KAD-117,NG,Nigeria,Kaduna,Kaduna District 1,Kaduna District 1 Sub-district 2,372933.0,Rural,10.94707,10.399067,1000,372.93,2336,0.127
NG-KAD-118,NG,Nigeria,Kaduna,Kaduna District 1,Kaduna District 1 Sub-district 3,132265.0,Rural,8.466222,10.96616,2903,45.56,1932,0.189
NG-KAD-119,NG,Nigeria,Kaduna,Kaduna District 1,Kaduna District 1 Sub-district 4,302967.0,Rural,9.521996,7.963231,3769,80.38,2094,0.427
NG-KAD-120,NG,Nigeria,Kaduna,Kaduna District 2,Kaduna District 2 Sub-district 1,247550.0,Rural,9.46905,8.715549,843,293.65,1834,0.579
NG-KAD-121,NG,Nigeria,Kaduna,Kaduna District 2,Kaduna District 2 Sub-district 2,488349.0,Rural,12.445125,8.928362,4857,100.55,2070,0.47
NG-KAD-122,NG,Nigeria,Kaduna,Kaduna District 3,Kaduna District 3 Sub-district 1,306988.0,Rural,5.059515,3.185456,1689,181.76,827,0.574
NG-KAD-123,NG,Nigeria,Kaduna,Kaduna District 3,Kaduna District 3 Sub-district 2,4357679.0,Urban,10.411848,12.963743,849,5132.72,126,0.222
NG-KAD-124,NG,Nigeria,Kaduna,Kaduna District 3,Kaduna District 3 Sub-district 3,209945.0,Rural,4.385647,2.906121,3583,58.59,1430,0.198
NG-RIV-125,NG,Nigeria,Rivers,Rivers District 1,Rivers District 1 Sub-district 1,232717.0,Rural,6.31908,12.95174,3122,74.54,1854,0.349
NG-RIV-126,NG,Nigeria,Rivers,Rivers District 1,Rivers District 1 Sub-district 2,3427540.0,Urban,8.171735,11.842171,211,16244.27,2360,0.104
NG-RIV-127,NG,Nigeria,Rivers,Rivers District 2,Rivers District 2 Sub-district 1,2898739.0,Urban,9.689398,13.931882,395,7338.58,474,0.69
NG-RIV-128,NG,Nigeria,Rivers,Rivers District 2,Rivers District 2 Sub-district 2,9369066.0,Urban,4.845728,13.847319,191,49052.7,663,0.562
NG-OYO-129,NG,Nigeria,Oyo,Oyo District 1,Oyo District 1 Sub-district 1,2045482.0,Urban,9.390537,2.7,478,4279.25,966,0.88
NG-OYO-130,NG,Nigeria,Oyo,Oyo District 1,Oyo District 1 Sub-district 2,3412149.0,Urban,11.582867,7.85353,369,9247.02,326,0.576
NG-OYO-131,NG,Nigeria,Oyo,Oyo District 1,Oyo District 1 Sub-district 3,5327858.0,Urban,5.335894,12.173046,41,129947.76,2332,0.6
NG-OYO-132,NG,Nigeria,Oyo,Oyo District 2,Oyo District 2 Sub-district 1,7511634.0,Urban,4.3,10.714979,184,40824.1,193,0.528
NG-OYO-133,NG,Nigeria,Oyo,Oyo District 2,Oyo District 2 Sub-district 2,4943645.0,Urban,8.693347,3.333559,906,5456.56,54,0.857
NG-BOR-134,NG,Nigeria,Borno,Borno District 1,Borno District 1 Sub-district 1,962061.0,Rural,8.203153,10.800922,104,9250.59,1823,0.673
NG-BOR-135,NG,Nigeria,Borno,Borno District 1,Borno District 1 Sub-district 2,997336.0,Rural,5.278933,4.02179,2540,392.65,1790,0.116
NG-BOR-136,NG,Nigeria,Borno,Borno District 1,Borno District 1 Sub-district 3,4185714.0,Urban,9.414363,4.106375,427,9802.61,2143,0.891
NG-BOR-137,NG,Nigeria,Borno,Borno District 2,Borno District 2 Sub-district 1,416915.0,Rural,9.561617,3.711313,872,478.11,943,0.17
NG-BOR-138,NG,Nigeria,Borno,Borno District 2,Borno District 2 Sub-district 2,378176.0,Rural,5.143708,2.7,3502,107.99,914,0.566
NG-BOR-139,NG,Nigeria,Borno,Borno District 2,Borno District 2 Sub-district 3,501921.0,Rural,11.88999,8.706659,3644,137.74,745,0.76
NG-ENU-140,NG,Nigeria,Enugu,Enugu District 1,Enugu District 1 Sub-district 1,478387.0,Rural,10.17663,7.429199,3627,131.9,1387,0.212
NG-ENU-141,NG,Nigeria,Enugu,ENUGU DISTRICT 1,Enugu District 1 Sub-district 2,643351.0,Rural,13.644326,8.162879,4881,131.81,520,0.533
NG-ENU-142,NG,Nigeria,Enugu,Enugu District 1,Enugu District 1 Sub-district 3,422918.0,Rural,6.277822,10.233345,2591,163.23,2051,0.206
NG-ENU-143,NG,Nigeria,Enugu,Enugu District 1,Enugu District 1 Sub-district 4,356609.0,Rural,6.79895,2.776049,2225,160.27,2089,0.561
NG-ENU-144,NG,Nigeria,Enugu,Enugu District 2,Enugu District 2 Sub-district 1,6888997.0,Urban,12.150321,5.013613,883,7801.81,341,0.21
NG-ENU-145,NG,Nigeria,Enugu,Enugu District 2,Enugu District 2 Sub-district 2,575781.0,Rural,11.213772,5.540895,504,1142.42,1708,0.77
NG-ENU-146,NG,Nigeria,Enugu,Enugu District 2,Enugu District 2 Sub-district 3,784733.0,Rural,9.16641,3.116095,3117,251.76,1845,0.69
NG-OTH-147,NG,Nigeria,Others,OTHERS DISTRICT 1,Others District 1 Sub-district 1,7247794.0,Urban,8.008951,9.010518,305,23763.26,2058,0.385
NG-OTH-148,NG,Nigeria,Others,Others District 1,Others District 1 Sub-district 2,111046.0,Rural,11.513485,14.6,4200,26.44,757,0.208
NG-OTH-149,NG,Nigeria,Others,Others District 1,Others District 1 Sub-district 3,683417.0,Rural,5.952958,7.498842,1812,377.16,364,0.224
NG-OTH-150,NG,Nigeria,Others,Others District 1,Others District 1 Sub-district 4,599137.0,Rural,6.676943,5.27204,1290,464.45,60,0.651
NG-OTH-151,NG,Nigeria,Others,Others District 2,Others District 2 Sub-district 1,124354.0,Rural,13.516982,13.890949,221,562.69,1458,0.318
NG-OTH-152,NG,Nigeria,Others,Others District 2,Others District 2 Sub-district 2,675762.0,Rural,8.673727,13.98632,3054,221.27,1040,0.86
NG-OTH-153,NG,Nigeria,Others,Others District 2,Others District 2 Sub-district 3,419278.0,Rural,6.48597,14.6,388,1080.61,1799,0.611
NG-OTH-154,NG,Nigeria,Others,Others District 3,Others District 3 Sub-district 1,692245.0,Rural,11.771023,14.6,3776,183.33,488,0.855
NG-OTH-155,NG,Nigeria,Others,Others District 3,Others District 3 Sub-district 2,4813270.0,Urban,10.989343,10.0091,400,12033.17,334,0.658
NG-OTH-156,NG,Nigeria,Others,Others District 4,Others District 4 Sub-district 1,9593223.0,Urban,13.9,14.6,603,15909.16,989,0.144
NG-OTH-157,NG,Nigeria,Others,Others District 4,Others District 4 Sub-district 2,349321.0,Rural,11.841248,12.114891,3273,106.73,2235,0.485
NG-OTH-158,NG,Nigeria,Others,Others District 5,Others District 5 Sub-district 1,234055.0,Rural,9.887509,9.191277,88,2659.72,1372,0.629
NG-OTH-159,NG,Nigeria,Others,Others District 5,Others District 5 Sub-district 2,738112.0,Rural,13.9,11.706672,3571,206.7,310,0.47
NG-OTH-160,NG,Nigeria,Others,Others District 5,Others District 5 Sub-district 3,915862.0,Rural,7.43414,8.94707,3860,237.27,1914,0.898
NG-OTH-161,NG,Nigeria,Others,Others District 5,Others District 5 Sub-district 4,522845.0,Rural,6.503617,4.825302,4893,106.86,696,0.565
NG-OTH-162,NG,Nigeria,Others,OTHERS DISTRICT 6,Others District 6 Sub-district 1,729661.0,Rural,9.664161,9.392048,4534,160.93,2050,0.474
NG-OTH-163,NG,Nigeria,Others,Others District 6,Others District 6 Sub-district 2,6408753.0,Urban,8.498158,7.157832,674,9508.54,431,0.114
NG-OTH-164,NG,Nigeria,Others,Others District 6,Others District 6 Sub-district 3,266472.0,Rural,6.704489,9.038299,1013,263.05,2234,0.86
NG-OTH-165,NG,Nigeria,Others,Others District 6,Others District 6 Sub-district 4,338506.0,Rural,11.303721,14.6,3465,97.69,10,0.823
NG-OTH-166,NG,Nigeria,Others,Others District 7,Others District 7 Sub-district 1,6166650.0,Urban,9.50877,14.348026,319,19331.19,884,0.765
NG-OTH-167,NG,Nigeria,Others,Others District 7,Others District 7 Sub-district 2,1302186.0,Urban,7.348269,7.001686,762,1708.91,2306,0.761
NG-OTH-168,NG,Nigeria,Others,Others District 7,Others District 7 Sub-district 3,698069.0,Rural,13.9,14.6,3220,216.79,1043,0.896
ZA-GAU-169,ZA,South Africa,Gauteng,Gauteng District 1,Gauteng District 1 Sub-district 1,1418499.0,Urban,-27.817764,32.9,12,194129.42,159,0.471
ZA-GAU-170,ZA,South Africa,Gauteng,Gauteng District 1,Gauteng District 1 Sub-district 2,1324903.0,Urban,-26.750966,18.393984,626,3475.79,951,0.312
ZA-GAU-171,ZA,South Africa,Gauteng,Gauteng District 2,Gauteng District 2 Sub-district 1,1803980.0,Urban,-23.485678,17.474527,472,6276.73,39,0.845
ZA-GAU-172,ZA,South Africa,Gauteng,Gauteng District 2,Gauteng District 2 Sub-district 2,673099.0,Urban,-28.810561,23.005692,337,3280.15,1274,0.679
ZA-GAU-173,ZA,South Africa,Gauteng,Gauteng District 3,Gauteng District 3 Sub-district 1,549922.0,Urban,-25.512895,18.142146,602,1500.2,1137,0.496
ZA-GAU-174,ZA,South Africa,Gauteng,Gauteng District 3,Gauteng District 3 Sub-district 2,1902150.0,Urban,-22.833835,26.263231,49,63751.76,1889,0.535
ZA-GAU-175,ZA,South Africa,Gauteng,Gauteng District 3,Gauteng District 3 Sub-district 3,1745521.0,Urban,-23.29407,20.916283,580,4942.43,1704,0.367
ZA-GAU-176,ZA,South Africa,Gauteng,Gauteng District 4,Gauteng District 4 Sub-district 1,1489888.0,Urban,-32.441991,28.357048,709,3451.05,2054,0.805
ZA-GAU-177,ZA,South Africa,Gauteng,Gauteng District 4,Gauteng District 4 Sub-district 2,720610.0,Rural,-33.361033,30.436995,2769,42.74,2410,0.283
