date,geography_id,temperature_min_c,temperature_max_c,temperature_avg_c,rainfall_mm,humidity_pct
2020-02-03,KE-NAI-001,28.0,38.2,32.9,0.0,39.7
2020-02-04,KE-NAI-001,28.5,39.8,34.1,0.0,41.6
2020-02-05,KE-NAI-001,30.8,39.5,34.5,0.0,36.1
2020-02-06,KE-NAI-001,33.5,39.3,36.3,0.0,38.9
2020-02-07,KE-NAI-001,35.1,40.5,37.6,0.0,44.9
2020-02-08,KE-NAI-001,30.7,40.4,35.7,0.0,37.9
2020-02-09,KE-NAI-001,29.7,36.7,33.0,0.0,38.5
2020-02-10,KE-NAI-001,31.9,39.3,36.4,0.0,42.3
2020-02-11,KE-NAI-001,34.2,43.5,37.6,0.0,36.1
2020-02-12,KE-NAI-001,34.0,42.8,38.3,0.0,43.0
2020-02-13,KE-NAI-001,32.0,40.5,37.0,20.7,63.5
2020-02-14,KE-NAI-001,33.1,41.4,35.6,0.0,35.3
2020-02-15,KE-NAI-001,31.8,43.1,37.6,0.0,41.1
2020-02-16,KE-NAI-001,32.3,39.9,35.4,0.0,38.0
2020-02-17,KE-NAI-001,33.7,41.0,38.2,0.0,35.1
2020-02-18,KE-NAI-001,31.1,41.8,36.7,0.0,38.0
2020-02-19,KE-NAI-001,30.6,37.9,34.4,0.0,36.9
2020-02-20,KE-NAI-001,32.5,42.6,37.8,0.0,37.0
2020-02-21,KE-NAI-001,39.0,48.3,44.6,0.0,44.1
2020-02-22,KE-NAI-001,31.9,40.4,36.0,0.0,39.1
2020-02-23,KE-NAI-001,34.7,39.9,37.3,0.0,41.4
2020-02-24,KE-NAI-001,32.1,40.6,37.3,0.0,44.1
2020-02-25,KE-NAI-001,32.5,39.5,35.2,0.0,38.6
2020-02-26,KE-NAI-001,28.1,36.8,33.4,0.0,44.2
2020-02-27,KE-NAI-001,35.3,43.7,37.9,0.0,38.0
2020-02-28,KE-NAI-001,32.1,38.6,35.2,0.0,37.9
2020-02-29,KE-NAI-001,32.2,40.5,37.0,0.0,37.6
2020-03-01,KE-NAI-001,38.0,45.4,42.0,113.5,80.3
2020-03-02,KE-NAI-001,37.0,42.6,39.9,154.7,94.1
2020-03-03,KE-NAI-001,31.9,40.2,36.1,45.5,88.0
2020-03-04,KE-NAI-001,33.2,42.6,37.9,37.6,92.5
2020-03-05,KE-NAI-001,35.6,43.5,40.4,82.3,80.5
2020-03-06,KE-NAI-001,33.6,44.0,38.2,39.3,92.9
2020-03-07,KE-NAI-001,36.7,46.4,42.5,0.0,55.9
2020-03-08,KE-NAI-001,31.2,37.1,34.4,1.5,81.9
2020-03-09,KE-NAI-001,33.8,42.9,37.4,134.8,85.6
2020-03-10,KE-NAI-001,35.9,43.8,38.9,0.0,56.2
2020-03-11,KE-NAI-001,36.6,43.2,40.1,0.0,56.9
2020-03-12,KE-NAI-001,33.8,43.8,39.8,119.8,86.8
2020-03-13,KE-NAI-001,36.6,44.6,41.7,0.0,59.9
2020-03-14,KE-NAI-001,32.4,41.4,37.8,0.0,61.1
2020-03-15,KE-NAI-001,32.3,44.0,38.2,79.9,89.0
2020-03-16,KE-NAI-001,34.0,41.2,37.5,0.0,57.5
2020-03-17,KE-NAI-001,37.2,44.3,40.0,63.8,88.8
2020-03-18,KE-NAI-001,34.5,43.8,40.1,12.3,95.2
2020-03-19,KE-NAI-001,34.4,42.2,37.2,138.0,94.1
2020-03-20,KE-NAI-001,36.6,42.2,39.4,0.0,61.3
2020-03-21,KE-NAI-001,35.4,47.2,41.3,0.0,61.2
2020-03-22,KE-NAI-001,35.2,43.2,38.0,44.2,98.1
2020-03-23,KE-NAI-001,36.4,43.1,39.0,10.1,82.4
2020-03-24,KE-NAI-001,32.2,42.1,37.0,200.0,87.5
2020-03-25,KE-NAI-001,37.1,46.3,40.4,200.0,80.9
2020-03-26,KE-NAI-001,32.6,42.6,38.3,0.0,64.3
2020-03-27,KE-NAI-001,35.7,44.7,40.0,0.0,60.5
2020-03-28,KE-NAI-001,34.5,43.7,39.2,0.0,64.5
2020-03-29,KE-NAI-001,34.2,42.3,38.9,49.8,87.1
2020-03-30,KE-NAI-001,36.5,43.8,41.0,0.0,55.1
2020-03-31,KE-NAI-001,36.2,45.1,39.8,0.0,63.4
2020-04-01,KE-NAI-001,37.2,48.2,42.8,0.0,57.7
2020-04-02,KE-NAI-001,30.7,42.0,36.5,2.1,87.5
2020-04-03,KE-NAI-001,37.4,48.7,42.7,72.1,87.6
2020-04-04,KE-NAI-001,34.9,42.3,38.8,160.0,96.3
2020-04-05,KE-NAI-001,35.5,47.5,41.5,117.2,98.9
2020-04-06,KE-NAI-001,34.1,41.1,38.1,0.0,58.9
2020-04-07,KE-NAI-001,37.0,45.1,40.3,0.0,61.4
2020-04-08,KE-NAI-001,35.4,44.9,39.7,152.9,91.0
2020-04-09,KE-NAI-001,33.0,43.1,37.5,11.5,80.6
2020-04-10,KE-NAI-001,35.3,43.5,40.2,1.2,87.0
2020-04-11,KE-NAI-001,37.1,45.5,41.7,187.6,87.0
2020-04-12,KE-NAI-001,38.0,46.6,41.9,0.0,55.5
2020-04-13,KE-NAI-001,36.0,44.7,39.0,23.9,89.2
2020-04-14,KE-NAI-001,35.2,43.5,38.8,6.3,82.6
2020-04-15,KE-NAI-001,36.6,42.6,39.6,81.9,83.6
2020-04-16,KE-NAI-001,36.1,45.1,40.2,17.1,80.8
2020-04-17,KE-NAI-001,35.0,41.6,38.1,7.4,82.4
2020-04-18,KE-NAI-001,32.0,40.0,35.8,0.0,64.6
2020-04-19,KE-NAI-001,32.9,42.9,38.2,165.5,98.4
2020-04-20,KE-NAI-001,33.0,43.4,38.3,18.8,87.4
2020-04-21,KE-NAI-001,33.8,42.7,38.0,49.7,94.9
2020-04-22,KE-NAI-001,35.3,43.9,39.6,47.5,90.7
2020-04-23,KE-NAI-001,35.6,42.4,39.0,1.6,86.4
2020-04-24,KE-NAI-001,34.1,42.6,37.0,90.9,95.8
2020-04-25,KE-NAI-001,31.8,38.8,36.0,70.7,94.9
2020-04-26,KE-NAI-001,32.6,39.8,36.1,0.0,59.3
2020-04-27,KE-NAI-001,33.9,43.6,37.7,0.0,62.6
2020-04-28,KE-NAI-001,33.5,40.2,36.7,181.7,81.6
2020-04-29,KE-NAI-001,32.6,40.9,36.9,0.0,63.9
2020-04-30,KE-NAI-001,33.1,44.0,38.6,15.0,93.4
2020-05-01,KE-NAI-001,31.8,42.0,37.6,26.3,95.4
2020-05-02,KE-NAI-001,32.5,40.8,36.5,9.8,92.2
2020-05-03,KE-NAI-001,32.0,40.1,35.5,52.5,90.7
2020-05-04,KE-NAI-001,34.2,39.9,37.2,0.0,61.8
2020-05-05,KE-NAI-001,31.2,39.9,36.5,0.0,57.4
2020-05-06,KE-NAI-001,31.9,39.5,35.8,0.0,56.7
2020-05-07,KE-NAI-001,36.2,45.0,42.0,0.0,55.6
2020-05-08,KE-NAI-001,32.6,41.0,38.0,0.0,63.0
2020-05-09,KE-NAI-001,37.0,43.2,40.1,0.0,58.3
2020-05-10,KE-NAI-001,26.9,36.3,32.4,0.0,60.6
2020-05-11,KE-NAI-001,33.6,41.6,37.5,110.1,90.1
2020-05-12,KE-NAI-001,33.4,41.7,37.3,0.0,58.8
2020-05-13,KE-NAI-001,33.2,41.9,36.1,0.0,61.7
2020-05-14,KE-NAI-001,32.4,41.4,37.1,0.0,57.1
2020-05-15,KE-NAI-001,32.4,39.0,35.4,109.0,80.7
2020-05-16,KE-NAI-001,33.6,42.9,39.2,0.0,63.9
2020-05-17,KE-NAI-001,31.4,39.8,36.8,127.7,83.0
2020-05-18,KE-NAI-001,32.4,42.2,37.4,0.0,59.6
2020-05-19,KE-NAI-001,30.6,37.6,33.9,191.3,91.7
2020-05-20,KE-NAI-001,28.1,36.9,33.9,56.4,92.2
2020-05-21,KE-NAI-001,28.3,36.4,30.9,0.0,59.3
2020-05-22,KE-NAI-001,31.4,39.4,36.3,74.7,88.5
2020-05-23,KE-NAI-001,30.6,41.5,35.7,0.0,60.5
2020-05-24,KE-NAI-001,36.3,42.9,40.2,129.9,80.1
2020-05-25,KE-NAI-001,32.4,39.9,36.0,200.0,86.9
2020-05-26,KE-NAI-001,33.3,40.7,37.4,12.1,83.5
2020-05-27,KE-NAI-001,28.8,37.0,33.1,0.0,61.4
2020-05-28,KE-NAI-001,35.7,43.1,38.2,200.0,83.0
2020-05-29,KE-NAI-001,32.7,39.5,36.7,0.0,60.0
2020-05-30,KE-NAI-001,27.8,36.1,32.9,0.0,62.9
2020-05-31,KE-NAI-001,31.2,37.0,34.4,66.6,81.3
2020-06-01,KE-NAI-001,29.1,37.5,33.5,0.0,39.4
2020-06-02,KE-NAI-001,33.8,40.0,36.8,0.0,35.5
2020-06-03,KE-NAI-001,26.1,34.8,30.8,3.4,74.3
2020-06-04,KE-NAI-001,27.1,34.5,31.9,0.0,42.7
2020-06-05,KE-NAI-001,30.4,38.3,33.5,0.0,44.0
2020-06-06,KE-NAI-001,29.6,38.0,32.9,0.0,36.7
2020-06-07,KE-NAI-001,33.1,39.9,36.3,0.0,44.9
2020-06-08,KE-NAI-001,28.1,34.1,30.9,4.0,71.7
2020-06-09,KE-NAI-001,29.2,38.3,34.6,0.0,41.2
2020-06-10,KE-NAI-001,27.6,35.6,32.2,0.0,40.9
2020-06-11,KE-NAI-001,24.7,34.0,28.2,0.0,43.6
2020-06-12,KE-NAI-001,30.1,39.8,35.6,0.0,37.0
2020-06-13,KE-NAI-001,27.9,35.7,31.3,0.0,42.4
2020-06-14,KE-NAI-001,28.8,37.2,31.8,0.0,39.7
2020-06-15,KE-NAI-001,28.1,36.4,30.7,17.2,65.5
2020-06-16,KE-NAI-001,25.6,34.8,30.0,0.0,42.9
2020-06-17,KE-NAI-001,29.8,37.8,34.6,0.0,40.8
2020-06-18,KE-NAI-001,30.5,38.7,34.4,3.6,74.8
2020-06-19,KE-NAI-001,28.1,35.3,31.4,0.0,41.4
2020-06-20,KE-NAI-001,24.4,32.9,29.4,0.0,40.2
2020-06-21,KE-NAI-001,26.6,35.0,31.7,6.1,71.9
2020-06-22,KE-NAI-001,28.2,35.2,30.9,0.0,41.7
2020-06-23,KE-NAI-001,26.9,34.7,29.7,0.0,38.1
2020-06-24,KE-NAI-001,26.7,34.1,30.7,0.0,37.0
2020-06-25,KE-NAI-001,23.3,31.6,27.9,49.9,62.7
2020-06-26,KE-NAI-001,25.9,35.8,31.7,0.0,39.6
2020-06-27,KE-NAI-001,25.1,35.3,30.5,0.0,36.5
2020-06-28,KE-NAI-001,27.4,35.0,30.7,0.0,35.1
2020-06-29,KE-NAI-001,27.1,34.7,30.2,0.0,44.7
2020-06-30,KE-NAI-001,24.7,33.1,29.6,0.0,35.3
2020-07-01,KE-NAI-001,23.4,34.4,28.9,0.0,36.7
2020-07-02,KE-NAI-001,27.6,34.8,30.2,0.0,43.8
2020-07-03,KE-NAI-001,25.4,34.1,29.1,7.6,70.8
2020-07-04,KE-NAI-001,22.3,31.2,27.5,0.0,36.1
2020-07-05,KE-NAI-001,23.0,31.2,25.6,41.5,70.6
2020-07-06,KE-NAI-001,23.5,34.6,29.3,0.0,41.5
2020-07-07,KE-NAI-001,22.8,31.6,26.9,0.0,35.2
2020-07-08,KE-NAI-001,25.4,34.6,30.6,0.0,37.6
2020-07-09,KE-NAI-001,23.1,30.3,26.8,0.0,42.7
2020-07-10,KE-NAI-001,24.3,29.5,26.9,0.0,40.7
2020-07-11,KE-NAI-001,27.1,36.2,30.4,0.0,44.1
2020-07-12,KE-NAI-001,21.2,30.7,25.1,0.0,40.3
2020-07-13,KE-NAI-001,18.7,28.0,24.7,0.0,38.5
2020-07-14,KE-NAI-001,22.9,31.9,27.6,0.0,43.2
2020-07-15,KE-NAI-001,20.2,29.1,25.4,50.0,77.7
2020-07-16,KE-NAI-001,19.6,31.3,25.3,0.0,41.0
2020-07-17,KE-NAI-001,24.8,33.2,27.9,0.0,42.8
2020-07-18,KE-NAI-001,23.8,32.8,28.2,0.0,44.1
2020-07-19,KE-NAI-001,22.3,30.9,25.2,0.0,36.4
2020-07-20,KE-NAI-001,21.6,31.8,27.0,0.0,44.1
2020-07-21,KE-NAI-001,18.7,27.2,22.1,0.0,44.2
2020-07-22,KE-NAI-001,19.7,27.9,23.0,38.1,69.9
2020-07-23,KE-NAI-001,25.0,34.1,30.4,0.0,39.3
2020-07-24,KE-NAI-001,20.7,29.7,24.1,0.0,38.4
2020-07-25,KE-NAI-001,21.7,31.5,26.6,0.0,37.5
2020-07-26,KE-NAI-001,22.8,31.4,25.9,0.0,44.7
2020-07-27,KE-NAI-001,20.7,29.5,24.4,0.0,36.8
2020-07-28,KE-NAI-001,19.4,29.1,24.8,6.8,72.3
2020-07-29,KE-NAI-001,21.0,29.2,24.4,0.0,37.2
2020-07-30,KE-NAI-001,21.5,29.6,24.4,0.0,35.4
2020-07-31,KE-NAI-001,20.7,29.4,26.5,0.0,38.1
2020-08-01,KE-NAI-001,18.3,24.6,21.1,0.0,44.3
2020-08-02,KE-NAI-001,15.5,22.8,20.2,0.0,35.3
2020-08-03,KE-NAI-001,19.7,30.7,25.6,28.4,60.5
2020-08-04,KE-NAI-001,21.7,30.7,26.6,0.0,35.0
2020-08-05,KE-NAI-001,19.2,27.3,23.2,0.0,37.1
2020-08-06,KE-NAI-001,18.4,26.1,21.2,0.0,42.3
2020-08-07,KE-NAI-001,18.7,27.5,24.5,0.0,35.6
2020-08-08,KE-NAI-001,22.7,30.1,26.6,0.0,40.9
2020-08-09,KE-NAI-001,15.0,24.0,20.7,0.0,44.7
2020-08-10,KE-NAI-001,14.6,24.3,20.2,0.0,43.1
2020-08-11,KE-NAI-001,19.9,30.7,25.4,0.0,36.6
2020-08-12,KE-NAI-001,20.7,26.3,23.7,0.0,38.8
2020-08-13,KE-NAI-001,19.7,29.1,24.9,2.7,73.7
2020-08-14,KE-NAI-001,15.2,22.2,19.4,0.0,42.3
2020-08-15,KE-NAI-001,16.1,25.0,21.4,0.0,44.9
2020-08-16,KE-NAI-001,17.4,26.2,21.6,0.0,38.1
2020-08-17,KE-NAI-001,14.9,25.7,20.4,13.1,62.1
2020-08-18,KE-NAI-001,17.0,26.6,21.7,0.0,44.9
2020-08-19,KE-NAI-001,15.6,23.6,19.3,8.6,60.7
2020-08-20,KE-NAI-001,18.1,25.6,21.1,0.0,37.0
2020-08-21,KE-NAI-001,16.7,23.0,19.9,20.2,74.1
2020-08-22,KE-NAI-001,16.4,26.9,21.4,0.0,37.0
2020-08-23,KE-NAI-001,16.2,25.2,19.8,45.0,71.0
2020-08-24,KE-NAI-001,15.9,25.0,20.6,0.0,44.2
2020-08-25,KE-NAI-001,20.9,26.9,23.6,0.0,36.3
2020-08-26,KE-NAI-001,13.5,23.6,18.8,0.0,39.4
2020-08-27,KE-NAI-001,14.7,23.0,19.7,0.0,35.3
2020-08-28,KE-NAI-001,13.5,21.1,18.4,6.0,69.3
2020-08-29,KE-NAI-001,16.1,26.7,21.7,0.0,40.7
2020-08-30,KE-NAI-001,12.1,20.7,18.0,0.0,39.2
2020-08-31,KE-NAI-001,13.4,22.5,17.5,0.0,36.3
2020-09-01,KE-NAI-001,16.5,24.5,20.0,0.0,42.9
2020-09-02,KE-NAI-001,17.3,26.7,22.0,0.0,43.7
2020-09-03,KE-NAI-001,18.0,24.5,21.1,0.0,43.2
2020-09-04,KE-NAI-001,15.1,24.8,20.6,0.0,36.3
2020-09-05,KE-NAI-001,17.8,26.1,21.5,0.0,41.1
2020-09-06,KE-NAI-001,8.3,17.6,14.2,0.0,41.7
2020-09-07,KE-NAI-001,13.0,23.0,18.9,0.0,44.3
2020-09-08,KE-NAI-001,17.4,24.8,20.5,0.0,36.7
2020-09-09,KE-NAI-001,12.0,21.6,16.6,0.0,43.3
2020-09-10,KE-NAI-001,16.2,23.9,18.8,0.0,40.3
2020-09-11,KE-NAI-001,15.8,25.9,20.4,0.0,43.9
2020-09-12,KE-NAI-001,17.0,23.1,20.4,0.0,35.6
2020-09-13,KE-NAI-001,17.4,25.3,21.0,3.2,79.7
2020-09-14,KE-NAI-001,13.4,21.8,19.3,0.0,38.6
2020-09-15,KE-NAI-001,14.8,23.4,19.2,0.0,43.6
2020-09-16,KE-NAI-001,18.9,25.1,21.5,0.0,43.0
2020-09-17,KE-NAI-001,15.8,25.4,19.9,0.0,38.1
2020-09-18,KE-NAI-001,12.6,23.8,18.0,0.0,40.0
2020-09-19,KE-NAI-001,16.7,23.8,21.2,0.0,38.1
2020-09-20,KE-NAI-001,15.0,23.1,19.9,0.0,41.1
2020-09-21,KE-NAI-001,12.9,23.7,17.7,50.0,68.1
2020-09-22,KE-NAI-001,14.2,25.0,19.8,0.0,37.6
2020-09-23,KE-NAI-001,15.0,23.5,18.7,0.0,37.4
2020-09-24,KE-NAI-001,15.8,25.1,21.1,0.0,43.8
2020-09-25,KE-NAI-001,15.1,22.6,18.8,0.0,38.0
2020-09-26,KE-NAI-001,15.3,23.2,19.1,0.0,41.3
2020-09-27,KE-NAI-001,17.7,26.5,22.4,0.0,36.4
2020-09-28,KE-NAI-001,16.8,25.3,21.1,8.3,67.6
2020-09-29,KE-NAI-001,17.6,26.6,22.0,0.0,36.9
2020-09-30,KE-NAI-001,10.4,21.3,15.4,4.4,60.2
2020-10-01,KE-NAI-001,17.3,26.4,20.6,200.0,87.0
2020-10-02,KE-NAI-001,16.8,23.9,19.7,26.8,86.1
2020-10-03,KE-NAI-001,15.9,24.1,19.5,0.0,62.3
2020-10-04,KE-NAI-001,18.0,24.8,21.9,91.4,83.6
2020-10-05,KE-NAI-001,20.0,27.3,22.8,200.0,89.7
2020-10-06,KE-NAI-001,14.3,24.0,19.6,80.2,99.0
2020-10-07,KE-NAI-001,16.0,24.9,21.6,75.5,88.2
2020-10-08,KE-NAI-001,14.5,25.6,20.0,21.6,95.6
2020-10-09,KE-NAI-001,16.8,25.7,20.8,78.2,89.0
2020-10-10,KE-NAI-001,13.6,21.2,18.1,0.0,56.4
2020-10-11,KE-NAI-001,16.3,23.7,18.9,0.0,59.5
2020-10-12,KE-NAI-001,15.7,22.9,19.1,54.9,99.8
2020-10-13,KE-NAI-001,16.3,24.2,20.2,0.0,58.1
2020-10-14,KE-NAI-001,11.9,20.8,17.9,103.1,91.6
2020-10-15,KE-NAI-001,15.9,24.3,18.7,31.3,84.5
2020-10-16,KE-NAI-001,15.3,21.8,19.1,5.6,96.0
2020-10-17,KE-NAI-001,14.4,24.8,20.0,31.4,86.7
2020-10-18,KE-NAI-001,11.6,22.5,16.5,0.0,59.4
2020-10-19,KE-NAI-001,16.4,23.6,19.1,0.0,63.2
2020-10-20,KE-NAI-001,18.2,26.4,23.2,8.1,89.0
2020-10-21,KE-NAI-001,13.5,23.6,18.3,0.0,62.7
2020-10-22,KE-NAI-001,18.4,25.3,22.3,0.0,55.7
2020-10-23,KE-NAI-001,18.0,27.0,22.3,112.6,82.6
2020-10-24,KE-NAI-001,14.8,25.5,20.2,0.0,64.6
2020-10-25,KE-NAI-001,14.1,20.7,17.9,0.0,59.5
2020-10-26,KE-NAI-001,14.8,22.2,18.3,73.4,90.3
2020-10-27,KE-NAI-001,14.2,25.6,20.2,200.0,82.3
2020-10-28,KE-NAI-001,16.6,25.8,21.9,0.0,56.3
2020-10-29,KE-NAI-001,17.9,24.3,21.5,15.2,93.9
2020-10-30,KE-NAI-001,17.9,27.5,21.6,0.0,56.8
2020-10-31,KE-NAI-001,15.8,25.6,20.5,55.9,88.0
2020-11-01,KE-NAI-001,19.2,26.0,22.2,2.1,82.7
2020-11-02,KE-NAI-001,14.9,24.8,20.8,56.4,88.8
2020-11-03,KE-NAI-001,19.0,26.6,21.8,77.3,93.0
2020-11-04,KE-NAI-001,17.8,26.4,20.5,95.0,99.7
2020-11-05,KE-NAI-001,20.6,27.0,24.0,28.9,82.0
2020-11-06,KE-NAI-001,16.0,26.3,20.3,0.0,58.8
2020-11-07,KE-NAI-001,18.0,26.2,21.5,44.4,82.6
2020-11-08,KE-NAI-001,17.9,24.8,21.0,140.6,94.7
2020-11-09,KE-NAI-001,18.2,25.9,23.4,52.5,80.4
2020-11-10,KE-NAI-001,20.3,27.6,23.2,1.0,84.8
2020-11-11,KE-NAI-001,14.1,25.3,20.0,0.0,60.1
2020-11-12,KE-NAI-001,17.9,27.4,22.0,53.6,83.0
2020-11-13,KE-NAI-001,16.3,25.0,19.9,37.7,87.9
2020-11-14,KE-NAI-001,19.3,30.8,24.9,0.0,61.8
2020-11-15,KE-NAI-001,16.8,25.7,21.7,147.0,80.8
2020-11-16,KE-NAI-001,17.3,26.9,22.1,0.0,58.6
2020-11-17,KE-NAI-001,19.5,26.9,24.2,13.0,94.7
2020-11-18,KE-NAI-001,23.9,29.3,26.5,0.0,64.3
2020-11-19,KE-NAI-001,20.1,25.4,22.9,0.0,57.6
2020-11-20,KE-NAI-001,16.3,25.3,20.0,0.0,63.1
2020-11-21,KE-NAI-001,17.8,23.8,20.9,0.0,57.4
2020-11-22,KE-NAI-001,20.3,28.8,25.0,10.4,92.3
2020-11-23,KE-NAI-001,16.4,26.4,21.6,3.4,99.4
2020-11-24,KE-NAI-001,16.1,26.6,22.0,110.3,96.2
2020-11-25,KE-NAI-001,20.5,28.2,25.3,200.0,84.5
2020-11-26,KE-NAI-001,17.4,26.1,21.5,0.0,62.6
2020-11-27,KE-NAI-001,16.9,23.0,19.8,0.0,58.5
2020-11-28,KE-NAI-001,20.1,31.0,25.6,0.0,62.5
2020-11-29,KE-NAI-001,17.7,27.0,22.8,0.0,57.7
2020-11-30,KE-NAI-001,22.4,29.9,25.5,0.0,55.6
2020-12-01,KE-NAI-001,24.0,29.7,26.7,25.9,76.4
2020-12-02,KE-NAI-001,19.1,29.6,24.5,0.0,39.1
2020-12-03,KE-NAI-001,17.4,25.2,21.6,0.0,38.1
2020-12-04,KE-NAI-001,20.3,28.5,25.4,0.0,44.9
2020-12-05,KE-NAI-001,23.4,31.8,26.7,0.0,44.0
2020-12-06,KE-NAI-001,24.4,32.1,27.7,0.0,38.8
2020-12-07,KE-NAI-001,21.2,28.1,24.4,0.0,39.5
2020-12-08,KE-NAI-001,19.5,26.1,22.5,0.0,35.0
2020-12-09,KE-NAI-001,19.6,27.4,23.3,0.0,36.1
2020-12-10,KE-NAI-001,18.4,27.3,22.3,19.3,67.1
2020-12-11,KE-NAI-001,23.5,31.6,28.8,0.0,40.2
2020-12-12,KE-NAI-001,20.4,29.4,24.9,0.0,39.0
2020-12-13,KE-NAI-001,21.7,31.9,26.6,0.0,36.7
2020-12-14,KE-NAI-001,22.0,28.4,24.7,0.0,37.9
2020-12-15,KE-NAI-001,21.3,30.8,26.5,0.0,43.5
2020-12-16,KE-NAI-001,22.5,28.5,25.3,0.0,37.6
2020-12-17,KE-NAI-001,17.2,28.9,23.1,0.0,40.8
2020-12-18,KE-NAI-001,26.6,33.4,29.5,0.0,41.2
2020-12-19,KE-NAI-001,23.9,32.9,28.4,0.0,41.4
2020-12-20,KE-NAI-001,24.1,33.5,27.7,0.0,40.7
2020-12-21,KE-NAI-001,18.5,29.5,24.0,0.0,37.0
2020-12-22,KE-NAI-001,22.4,28.2,25.4,0.0,40.0
2020-12-23,KE-NAI-001,18.1,27.2,22.2,0.0,43.4
2020-12-24,KE-NAI-001,20.9,30.9,26.1,0.0,44.3
2020-12-25,KE-NAI-001,26.1,32.3,28.8,0.0,42.5
2020-12-26,KE-NAI-001,24.5,33.1,28.0,0.0,37.2
2020-12-27,KE-NAI-001,26.6,33.5,29.3,1.3,78.1
2020-12-28,KE-NAI-001,25.0,32.7,29.0,0.0,44.8
2020-12-29,KE-NAI-001,21.8,32.5,26.7,0.0,35.6
2020-12-30,KE-NAI-001,25.5,33.9,28.9,0.0,42.4
2020-12-31,KE-NAI-001,23.3,31.3,28.1,0.0,40.4
2021-01-01,KE-NAI-001,25.7,32.3,29.4,0.0,42.7
2021-01-02,KE-NAI-001,26.8,35.6,30.1,0.0,39.8
2021-01-03,KE-NAI-001,24.0,33.4,29.0,12.3,69.7
2021-01-04,KE-NAI-001,27.0,35.9,30.1,0.0,38.3
2021-01-05,KE-NAI-001,20.5,29.6,25.2,14.4,76.1
2021-01-06,KE-NAI-001,24.0,30.8,28.1,0.0,43.0
2021-01-07,KE-NAI-001,25.2,34.0,28.9,0.0,43.0
2021-01-08,KE-NAI-001,23.9,35.0,29.4,0.0,42.6
2021-01-09,KE-NAI-001,26.1,33.9,31.3,12.5,78.2
2021-01-10,KE-NAI-001,26.4,35.0,30.7,21.4,76.4
2021-01-11,KE-NAI-001,27.7,36.8,33.6,0.0,42.1
2021-01-12,KE-NAI-001,24.7,34.5,30.0,0.0,37.0
2021-01-13,KE-NAI-001,28.5,35.9,32.8,0.0,37.1
2021-01-14,KE-NAI-001,27.5,36.6,31.1,0.0,42.2
2021-01-15,KE-NAI-001,24.9,35.3,30.6,0.0,40.6
2021-01-16,KE-NAI-001,26.1,33.6,30.8,0.0,37.0
2021-01-17,KE-NAI-001,29.1,39.0,33.0,0.0,38.7
2021-01-18,KE-NAI-001,29.1,37.7,32.2,0.0,43.4
2021-01-19,KE-NAI-001,28.0,37.4,32.4,0.0,44.2
2021-01-20,KE-NAI-001,26.9,35.1,31.9,0.0,36.8
